LocationName,Longitude,Latitude
Abasuma,-2.56715,8.83791
ABOABO,-2.06,7.83
Abodom,-0.8221508,5.53079
ABOMBA KODJO,0.35,7.83
Abomba Kojo,0.3591,7.8304833
ABOMBA KOJO,0.35,7.83
Abrewankor,-2.4654,9.20836
ABRUBRUWA,0.5403144,7.9369167
ABUDUYILI,-1.81,9.93
ABUKARI-KURA,-1.5,9.3
Abukari Akura,-1.4611333,9.1644167
ABUKARI KURA,-1.5,9.3
Abuorso,0.2705833,6.5198333
ACHANGA,-0.45,10.6
ACHANGA,-0.45569,10.60465
ACHUBUNYOR,-1.57,9.28
Adaa,-1.8529167,7.2461333
ADAA,-1.83,7.33
ADAMUKURAA,-2.01,6.83
Adiembra,-2.03738,6.60257
ADIEMBRA,-1.6087767,5.1610033
Adiemra,-2.0381,6.60255
Adoe,-1.75397,7.62342
ADUM - ADUM,0.38,7.83
Adwumam,-1.81041,6.38191
AGADOME,0.25,6.86667
Agbelekame,-2.2059,8.2314167
AGBELEKAME I,-2.2,8.23
Agbelekame North,-2.20475,8.2341
AGRIC. JUNCTION,-1.96,8.21
AGYEIKROM,-0.39567,6.3038
Ahamansu Junction,-0.5365333,7.7210333
Ahodwo Buipe,-1.1415,7.9553333
AJUMAN,-1.7011362,5.9256621
Akanyakrom,-2.2773,8.2880833
AKETE,-2.0647141,7.7988791
